395,2,9,2,1,1,2,2,2,2
396,2,5,2,1,1,2,2,2,2
397,2,7,2,1,1,2,2,2,2
398,2,7,2,1,1,2,2,2,2
399,2,7,2,1,1,2,2,2,2
400,2,7,2,1,1,2,2,2,2
401,2,9,2,1,1,2,2,2,2
402,1,9,2,1,1,2,2,2,2
403,2,2,2,2,2,2,2,2,2
404,1,7,2,1,1,2,2,2,2
405,2,9,2,1,1,2,2,2,2
406,2,7,2,1,1,2,2,2,2
407,2,7,2,1,1,2,2,2,2
408,1,7,2,1,1,2,2,2,2
409,2,9,2,1,1,2,2,2,2
410,2,7,2,1,1,2,2,2,2
411,2,9,2,1,1,2,2,2,2
412,2,9,2,1,1,2,2,2,2
413,2,3,2,1,1,2,2,2,2
414,1,7,2,1,1,2,2,2,2
415,2,9,2,1,1,2,2,2,2
416,2,9,2,1,1,2,2,2,2
417,1,9,2,1,1,2,2,2,2
418,2,7,2,1,1,2,2,2,2
419,2,9,2,1,1,2,2,2,2
420,2,11,2,1,1,2,2,2,2
421,2,3,2,1,1,2,2,2,2
422,2,3,2,1,1,2,2,2,2
423,2,9,2,1,1,2,2,2,2
424,2,7,2,1,1,2,2,2,2
425,2,9,2,1,1,2,2,2,2
426,2,7,2,1,1,2,2,2,2
427,2,9,2,1,1,2,2,2,2
428,2,9,2,1,1,2,2,2,2
429,2,9,2,1,1,2,2,2,2
430,1,9,2,1,1,2,2,2,2
431,2,7,2,1,1,2,2,2,2
432,2,2,2,2,2,2,2,2,2
433,2,7,2,1,1,2,2,2,2
434,2,9,2,1,1,2,2,2,2
435,1,7,2,1,1,2,2,2,2
436,2,9,2,1,1,2,2,2,2
437,2,9,2,1,1,2,2,2,2
438,2,9,2,1,1,2,2,2,2
439,2,7,2,1,1,2,2,2,2
440,2,9,2,1,1,2,2,2,2
441,2,9,2,1,1,2,2,2,2
442,2,1,2,1,1,2,2,2,2
443,1,5,2,1,1,2,2,2,2
444,2,7,2,1,1,2,2,2,2
445,2,3,2,1,1,2,2,2,2
446,2,9,2,1,1,2,2,2,2
447,2,9,2,1,1,2,2,2,2
448,2,9,2,1,1,2,2,2,2
449,2,7,2,1,1,2,2,2,2
450,2,2,2,2,2,2,2,2,2
451,2,7,2,1,1,2,2,2,2
452,2,9,2,1,1,2,2,2,2
453,2,4,2,4,2,2,2,2,2
454,2,9,2,1,1,2,2,2,2
455,2,9,2,1,1,2,2,2,2
456,1,7,2,1,1,2,2,2,2
457,2,9,2,1,1,2,2,2,2
458,1,7,2,1,1,2,2,2,2
459,2,9,2,1,1,2,2,2,2
460,2,7,2,1,1,2,2,2,2
461,2,2,2,7,2,2,2,2,2
462,2,5,2,1,3,2,2,2,2
463,2,9,2,1,1,2,2,2,2
464,1,3,2,1,1,2,2,2,2
465,1,9,2,1,1,2,2,2,2
